name,wikipedia__en,state,group,term,source,id,name__es,wikipedia__es,name__en,gender,birth_date,given_name,identifier__viaf,image,death_date,family_name,identifier__freebase
Isabel Allende Cano,Isabel Allende Cano,Puebla,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146549,,"",Isabel Allende Cano,female,1983-06-29,Isabel,,,,,
José Alejandro Llanas,José Alejandro Llanas,Tamaulipas,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q15111343,José Alejandro Llanas,José Alejandro Llanas Alba,José Alejandro Llanas,male,1978-06-24,José,,,,,
Felipe de Jesús Almaguer,Felipe de Jesús Almaguer,San Luis Potosí,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146590,,"",Felipe de Jesús Almaguer,male,1974-02-21,Felipe,,,,,
Jaime Chris López,Jaime Chris López,Baja California,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16218625,,"",Jaime Chris López,male,1979-09-17,Jaime,,,,,
Humberto Alonso Morelli,Humberto Alonso Morelli,Veracruz,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146705,,"",Humberto Alonso Morelli,male,1971-11-26,Humberto,,,,,
José Arturo López Cándido,José Arturo López Cándido,Federal District,MRN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q5938355,José Arturo López Cándido,José Arturo López Cándido,José Arturo López Cándido,male,1952-12-20,José,,,,,
Brenda María Alvarado Sánchez,Brenda María Alvarado Sánchez,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146888,,"",Brenda María Alvarado Sánchez,female,1970-02-16,Brenda,,,,,
José Martín López Cisneros,José Martín López Cisneros,Nuevo León,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16214055,,"",José Martín López Cisneros,male,1972-11-11,José,,,,,
María de Lourdes Amaya,María de Lourdes Amaya,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16147223,,"",María de Lourdes Amaya,female,1980-02-11,María,,,,,
Leticia López Landero,Leticia López Landero,Veracruz,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16194659,,"",Leticia López Landero,female,1962-07-07,Leticia,,,,,
Carlos Fernando Angulo Parra,Carlos Fernando Angulo Parra,Chihuahua,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16144531,,"",Carlos Fernando Angulo Parra,male,1950-09-11,Carlos,,,,,
Tomás López Landero,Tomás López Landero,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16145455,,"",Tomás López Landero,male,1950-03-14,Tomás,,,,,
Carol Antonio Altamirano,Carol Antonio Altamirano,Oaxaca,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146579,,"",Carol Antonio Altamirano,male,1963-12-13,Carol,,,,,
Adriana López Moreno,Adriana López Moreno,Chiapas,PVEM,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16217424,,"",Adriana López Moreno,female,1978-01-28,Adriana,,,,,
Salvador Arellano Guzmán,Salvador Arellano Guzmán,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16147432,,"",Salvador Arellano Guzmán,male,1957-08-30,Salvador,,,,,
Alejandra López Noriega,Alejandra López Noriega,Sonora,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213395,,"",Alejandra López Noriega,female,1970-01-05,Alejandra,,,,,
Alma Arroyo Ruiz,Alma Arroyo Ruiz,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146032,,"",Alma Arroyo Ruiz,female,1975-11-27,Alma,,,,,
María Angélica Magaña Zepeda,María Angélica Magaña Zepeda,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16215400,María Angélica Magaña Zepeda,"",María Angélica Magaña Zepeda,female,1975-10-05,María,,,,,
Antonio Astiazarán,Antonio Astiazarán,Sonora,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146386,,"",Antonio Astiazarán,male,1971-07-13,Antonio,,,,,
Fernando Alfredo Maldonado,Fernando Alfredo Maldonado,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16196576,,"",Fernando Alfredo Maldonado,male,1966-01-08,Fernando,,,,,
Ricardo Astudillo Suárez,Ricardo Astudillo Suárez,Querétaro,PVEM,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146425,,"",Ricardo Astudillo Suárez,male,1975-06-26,Ricardo,,,,,
José Valentín Maldonado Salgado,José Valentín Maldonado Salgado,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190775,,"",José Valentín Maldonado Salgado,male,1980-02-14,José,,,,,
Kamel Athie Flores,Kamel Athie Flores,Chihuahua,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16144557,,"",Kamel Athie Flores,male,1950-02-28,,,,,,
José Manzur Quiroga,José Manzur Quiroga,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16186781,,"",José Manzur Quiroga,male,1955-01-25,José,,,,,
Silvano Aureoles Conejo,Silvano Aureoles Conejo,Michoacán,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q7515707,Silvano Aureoles Conejo,Silvano Aureoles Conejo,Silvano Aureoles Conejo,male,1965-08-23,Silvano,,,,,
José Luis Márquez Martínez,José Luis Márquez Martínez,Puebla,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16196581,,"",José Luis Márquez Martínez,male,1966-06-21,José,,,,,
Xavier Azuara Zúñiga,Xavier Azuara Zúñiga,San Luis Potosí,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16147614,,"",Xavier Azuara Zúñiga,male,1979-09-16,Xavier,,,,,
Silvia Márquez Velasco,Silvia Márquez Velasco,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16194182,,"",Silvia Márquez Velasco,female,1961-08-23,Silvia,,,,,
Darío Badillo Ramírez,Darío Badillo Ramírez,Hidalgo,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16146024,,"",Darío Badillo Ramírez,male,1959-12-10,Darío,,,,,
Esther Angélica Martínez,Esther Angélica Martínez,San Luis Potosí,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16212075,,"",Esther Angélica Martínez,female,1970-12-07,Esther,169289452,,,,
Salvador Barajas del Toro,Salvador Barajas del Toro,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q6117631,Salvador Barajas del Toro,Salvador Barajas del Toro,Salvador Barajas del Toro,male,1972-05-08,Salvador,,,,,
María Elia Cabañas,María Elia Cabañas,Baja California,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16241944,,"",María Elia Cabañas,female,,María,,,,,
Marco Antonio Barba Mariscal,Marco Antonio Barba Mariscal,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16147052,,"",Marco Antonio Barba Mariscal,male,1970-05-24,Marco,,,,,
Juan Luis Martínez Martínez,Juan Luis Martínez Martínez,Oaxaca,MRN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16214075,,"",Juan Luis Martínez Martínez,male,1972-06-26,Juan,,,,,
Delvim Fabiola Bárcenas,Delvim Fabiola Bárcenas,Querétaro,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16147224,,"",Delvim Fabiola Bárcenas,female,1977-01-16,,,,,,
Andrés Eloy Martínez,Andrés Eloy Martínez,Morelos,MRN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q5675721,"Andrés Eloy Martínez Rojas,","",Andrés Eloy Martínez,male,1963-06-23,Andrés,,,,,
Petra Barrera Barrera,Petra Barrera Barrera,Guanajuato,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16193947,,"",Petra Barrera Barrera,female,1961-04-29,Petra,,,,,
Ángel Abel Mavil,Ángel Abel Mavil,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16196588,,"",Ángel Abel Mavil,male,1966-07-30,Ángel,,,,,
Fernando Charleston,Fernando Charleston,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16215732,,"",Fernando Charleston,male,1976-10-13,Fernando,,,,,
Rodimiro Barrera Estrada,Rodimiro Barrera Estrada,Michoacán,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16197234,,"",Rodimiro Barrera Estrada,male,1968-03-20,,,,,,
Ricardo Medina Fierro,Ricardo Medina Fierro,Baja California,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16215422,,"",Ricardo Medina Fierro,male,1975-08-05,Ricardo,,,,,
Gilberto Hirata,Gilberto Hirata,Baja California,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q15640590,Gilberto Hirata Chico,Gilberto Hirata Chico,Gilberto Hirata,male,1953-01-17,Gilberto,,,,,
Laura Barrera Fortoul,Laura Barrera Fortoul,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16204690,,"",Laura Barrera Fortoul,female,1976-05-10,Laura,,,,,
Marcos Rosendo Medina Filigrana,Marcos Rosendo Medina Filigrana,Tabasco,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190818,,"",Marcos Rosendo Medina Filigrana,male,1970-10-06,Marcos,,,,,
Agustín Barrios Gómez,Agustín Barrios Gómez,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190119,,"",Agustín Barrios Gómez,male,1971-03-18,Agustín,,,,,
Lorena Méndez Denis,Lorena Méndez Denis,Tabasco,MRN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16200396,,"",Lorena Méndez Denis,female,1968-11-06,Lorena,,,,,
Noé Barrueta,Noé Barrueta,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16204837,,"",Noé Barrueta,male,1971-12-27,Noé,,,,,
Mario Rafael Méndez Martínez,Mario Rafael Méndez Martínez,Oaxaca,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q15122091,Mario Rafael Méndez Martínez,"",Mario Rafael Méndez Martínez,male,1957-05-31,Mario,,,,,
Alliet Mariana Bautista,Alliet Mariana Bautista,Mexico,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16197535,,"",Alliet Mariana Bautista,female,1968-01-19,,,,,,
María Leticia Mendoza Curiel,María Leticia Mendoza Curiel,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16187202,,"",María Leticia Mendoza Curiel,female,1956-12-10,María,,,,,
Gloria Bautista Cuevas,Gloria Bautista Cuevas,Oaxaca,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16185245,,"",Gloria Bautista Cuevas,female,1953-03-16,Gloria,,,,,
Sonia Catalina Mercado,Sonia Catalina Mercado,Durango,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16200402,,"",Sonia Catalina Mercado,female,1968-10-23,Sonia,,,,,
Víctor Manuel Bautista López,Víctor Manuel Bautista López,Mexico,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16114032,,"",Víctor Manuel Bautista López,male,1947-06-09,Victor,,,,,
María del Rosario Merlín,María del Rosario Merlín,Guerrero,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190830,,"",María del Rosario Merlín,female,1964-11-01,María,,,,,
Óscar Bautista Villegas,Óscar Bautista Villegas,San Luis Potosí,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195419,,"",Óscar Bautista Villegas,male,1964-02-06,Óscar,,,,,
Martha Lucía Mícher,Martha Lucía Mícher,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q6002129,Martha Lucía Mícher Camarena,Martha Lucía Mícher Camarena,Martha Lucía Mícher,female,1954-02-11,Martha,,,,,
José Alberto Benavides,José Alberto Benavides,Federal District,PT,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190135,,"",José Alberto Benavides,male,1970-11-27,José,,,,,
Emilse Miranda Munive,Emilse Miranda Munive,Hidalgo,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213662,,"",Emilse Miranda Munive,female,1971-06-14,,,,,,
Sue Ellen Bernal,Sue Ellen Bernal,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16199015,Sue Ellen Bernal Bolnik,Sue Ellen Bernal Bolnik,Sue Ellen Bernal,female,1982-09-25,Sue,,,,,
Marino Miranda Salgado,Marino Miranda Salgado,Guerrero,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190838,,"",Marino Miranda Salgado,male,1962-02-28,Marino,,,,,
Landy Berzuenza Novelo,Landy Berzuenza Novelo,Campeche,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,,,,,,,,,,,,
José Alejandro Montano,José Alejandro Montano,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16187217,,"",José Alejandro Montano,male,1956-11-26,José,,,,,
Silvano Blanco Deaquino,Silvano Blanco Deaquino,Guerrero,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190172,,"",Silvano Blanco Deaquino,male,1962-02-10,Silvano,,,,,
Abraham Montes Alvarado,Abraham Montes Alvarado,Chihuahua,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16194211,,"",Abraham Montes Alvarado,male,1961-03-16,Abraham,,,,,
Claudia Elizabeth Bojórquez,Claudia Elizabeth Bojórquez,Tabasco,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190181,,"",Claudia Elizabeth Bojórquez,female,1970-10-19,Claudia,,,,,
Jesús Morales Flores,Jesús Morales Flores,Puebla,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q5930460,Jesús Morales Flores,Jesús Morales Flores,Jesús Morales Flores,male,1946-07-19,Jesús,,,,,
Adolfo Bonilla Gómez,Adolfo Bonilla Gómez,Zacatecas,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213875,,"",Adolfo Bonilla Gómez,male,1972-01-07,Adolfo,,,,,
Carlos Augusto Morales López,Carlos Augusto Morales López,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190856,,"",Carlos Augusto Morales López,male,1977-04-05,Carlos,,,,,
Omar Antonio Borboa,Omar Antonio Borboa,Jalisco,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16199744,,"",Omar Antonio Borboa,male,1980-08-24,Omar,,,,,
José Isidro Moreno Árcega,José Isidro Moreno Árcega,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16214099,,"",José Isidro Moreno Árcega,male,1972-02-19,José,,,,,
Tomás Brito Lara,Tomás Brito Lara,Tabasco,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190202,,"",Tomás Brito Lara,male,1958-01-11,Tomás,,,,,
José Pilar Moreno,José Pilar Moreno,Aguascalientes,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16193258,,"",José Pilar Moreno,male,1959-10-12,José,,,,,
Benito Caballero Garza,Benito Caballero Garza,Nuevo León,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195928,,"",Benito Caballero Garza,male,1965-09-24,Benito,,,,,
Israel Moreno Rivera,Israel Moreno Rivera,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190859,,"",Israel Moreno Rivera,male,1975-03-17,Israel,,,,,
Marco Antonio Calzada,Marco Antonio Calzada,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195445,,"",Marco Antonio Calzada,male,1964-01-17,Marco,,,,,
Dulce María Muñíz,Dulce María Muñíz,Hidalgo,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16193760,,"",Dulce María Muñíz,female,1960-01-30,Dulce,,,,,
Felipe Arturo Camarena,Felipe Arturo Camarena,Guanajuato,PVEM,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16186998,,"",Felipe Arturo Camarena,male,1956-02-05,Felipe,,,,,
José Luis Muñoz Soria,José Luis Muñoz Soria,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16122010,,"",José Luis Muñoz Soria,male,1948-08-10,José,,,,,
Lisandro Campos Córdova,Lisandro Campos Córdova,Puebla,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16188900,,"",Lisandro Campos Córdova,male,1957-06-27,Lisandro,,,,,
Luis Alfredo Murguía,Luis Alfredo Murguía,Chihuahua,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16187227,,"",Luis Alfredo Murguía,male,1956-11-22,Luis,,,,,
Alejandro Carbajal González,Alejandro Carbajal González,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190235,,"",Alejandro Carbajal González,male,1972-03-23,Alejandro,,,,,
Víctor Reymundo Nájera,Víctor Reymundo Nájera,Morelos,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16186807,,"",Víctor Reymundo Nájera,male,1955-07-04,Victor,,,,,
Juan Manuel Carbajal Hernández,Juan Manuel Carbajal Hernández,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16195451,,"",Juan Manuel Carbajal Hernández,male,1964-03-04,Juan,,,,,
Héctor Narcia Álvarez,Héctor Narcia Álvarez,Chiapas,PVEM,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16189416,,"",Héctor Narcia Álvarez,male,1957-12-16,Héctor,,,,,
Enrique Cárdenas,Enrique Cárdenas,Tamaulipas,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q5833206,Enrique Cárdenas del Avellano,Enrique Cárdenas del Avellano,Enrique Cárdenas,male,1957-09-04,Enrique,,,,,
José Everardo Nava,José Everardo Nava,San Luis Potosí,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16194226,,"",José Everardo Nava,male,1961-01-04,José,,,,,
Gabriel de Jesús Cárdenas,Gabriel de Jesús Cárdenas,Veracruz,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16201848,,"",Gabriel de Jesús Cárdenas,male,1987-06-27,Gabriel,,,,,
Joaquina Navarrete Contreras,Joaquina Navarrete Contreras,Mexico,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16190913,,"",Joaquina Navarrete Contreras,female,1966-08-03,,,,,,
Purificación Carpinteyro Calderón,Purificación Carpinteyro Calderón,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q6093372,Purificación Carpinteyro,Purificación Carpinteyro,Purificación Carpinteyro Calderón,female,1961-05-01,,,https://upload.wikimedia.org/wikipedia/commons/0/04/Purificación_Carpinteyro.jpg,,,
María Concepción Navarrete,María Concepción Navarrete,Guanajuato,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16193268,,"",María Concepción Navarrete,female,1959-07-05,María,,,,,
Angelina Carreño Mijares,Angelina Carreño Mijares,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16202094,Angelina Carreño Mijares,Angelina Carreño Mijares,Angelina Carreño Mijares,female,1981-12-25,Angelina,,,,,
César Reynaldo Navarro,César Reynaldo Navarro,Jalisco,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16200557,,"",César Reynaldo Navarro,male,1968-06-09,César,,,,,
Genaro Carreño Muro,Genaro Carreño Muro,Guanajuato,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16192643,,"",Genaro Carreño Muro,male,1958-07-27,Genaro,,,,,
Ossiel Niaves López,Ossiel Niaves López,Mexico,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16215027,,"",Ossiel Niaves López,male,1974-11-02,,,,,,
Verónica Carreón Cervantes,Verónica Carreón Cervantes,Veracruz,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16213369,,"",Verónica Carreón Cervantes,female,1970-07-03,Verónica,,,,,
Homero Niño de Rivera,Homero Niño de Rivera,Nuevo León,PAN,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16215456,,"",Homero Niño de Rivera,male,1975-03-23,Homero,,,,,
Mario Miguel Carrillo Huerta,Mario Miguel Carrillo Huerta,Federal District,PRD,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16114270,,"",Mario Miguel Carrillo Huerta,male,1967-06-04,Mario,,,,,
Ernesto Núñez Aguilar,Ernesto Núñez Aguilar,Michoacán,PVEM,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16218701,,"",Ernesto Núñez Aguilar,male,1979-02-28,Ernesto,,,,,
Minerva Castillo Rodríguez,Minerva Castillo Rodríguez,Chihuahua,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16186608,,"",Minerva Castillo Rodríguez,female,1955-10-26,Minerva,,,,,
Gloria Elizabeth Núñez Sánchez,Gloria Elizabeth Núñez Sánchez,Nayarit,PRI,62,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress,Q16223322,,"",Gloria Elizabeth Núñez Sánchez,female,1984-03-20,Gloria,,,,,
